"Samuel H. Williamson, 'What Was the U.S. GDP Then?' MeasuringWorth, 2022."
"Year","Real GDP (millions of 2012 dollars)","GDP Deflator (index 2012=100)","Population (in thousands)"
"1790","4,568","4.14","3,929.00"
"1791","4,842","4.25","4,048.00"
"1792","5,199","4.33","4,172.00"
"1793","5,612","4.47","4,299.00"
"1794","6,354","4.96","4,429.00"
"1795","6,758","5.67","4,563.00"
"1796","6,972","5.98","4,701.00"
"1797","7,113","5.75","4,844.00"
"1798","7,417","5.57","4,990.00"
"1799","7,941","5.57","5,141.00"
"1800","8,393","5.72","5,297.00"
"1801","8,802","5.84","5,461.00"
"1802","9,079","4.97","5,632.00"
"1803","9,232","5.27","5,809.00"
"1804","9,591","5.56","5,991.00"
"1805","10,100","5.55","6,180.00"
"1806","10,577","5.83","6,379.00"
"1807","10,587","5.56","6,588.00"
"1808","10,610","6.09","6,797.00"
"1809","11,422","6.01","7,009.00"
"1810","12,055","5.86","7,224.00"
"1811","12,603","6.09","7,436.00"
"1812","13,106","6.00","7,651.00"
"1813","13,851","7.00","7,867.00"
"1814","14,431","7.47","8,085.00"
"1815","14,547","6.36","8,308.00"
"1816","14,546","5.63","8,540.00"
"1817","14,884","5.17","8,790.00"
"1818","15,425","4.78","9,057.00"
"1819","15,723","4.62","9,335.00"
"1820","16,352","4.34","9,618.00"
"1821","17,223","4.27","9,899.00"
"1822","17,875","4.50","10,189.00"
"1823","18,522","4.10","10,488.00"
"1824","19,620","3.84","10,795.00"
"1825","20,498","4.01","11,115.00"
"1826","21,227","4.08","11,449.00"
"1827","21,886","4.19","11,797.00"
"1828","22,182","4.04","12,158.00"
"1829","23,025","4.04","12,525.00"
"1830","25,142","4.06","12,901.00"
"1831","27,217","3.87","13,277.00"
"1832","29,057","3.89","13,676.00"
"1833","29,951","3.87","14,086.00"
"1834","30,455","4.00","14,504.00"
"1835","32,071","4.18","14,917.00"
"1836","33,021","4.48","15,340.00"
"1837","33,323","4.66","15,790.00"
"1838","34,702","4.60","16,224.00"
"1839","35,593","4.67","16,656.00"
"1840","35,691","4.41","17,120.00"
"1841","36,490","4.53","17,612.00"
"1842","37,656","4.30","18,124.00"
"1843","39,522","3.97","18,641.00"
"1844","41,768","4.07","19,157.00"
"1845","44,412","4.19","19,708.00"
"1846","48,020","4.30","20,313.00"
"1847","51,289","4.70","20,987.00"
"1848","53,018","4.58","21,706.00"
"1849","53,755","4.50","22,464.00"
"1850","56,252","4.59","23,261.00"
"1851","60,780","4.48","24,095.00"
"1852","67,799","4.52","24,999.00"
"1853","73,343","4.51","25,911.00"
"1854","75,875","4.89","26,856.00"
"1855","79,039","5.03","27,727.00"
"1856","82,213","4.92","28,497.00"
"1857","82,634","5.06","29,298.00"
"1858","85,978","4.76","30,068.00"
"1859","92,203","4.80","30,780.00"
"1860","93,146","4.71","31,513.00"
"1861","94,805","4.90","32,215.00"
"1862","106,586","5.48","32,889.00"
"1863","114,782","6.71","33,607.00"
"1864","116,084","8.23","34,376.00"
"1865","119,408","8.36","35,182.00"
"1866","113,929","7.97","36,052.00"
"1867","115,883","7.27","36,970.00"
"1868","120,403","6.83","37,885.00"
"1869","123,679","6.40","38,870.00"
"1870","127,371","6.13","39,905.00"
"1871","133,430","5.74","41,010.00"
"1872","144,596","5.75","42,066.00"
"1873","156,931","5.63","43,225.00"
"1874","159,785","5.36","44,429.00"
"1875","159,500","5.17","45,492.00"
"1876","166,103","5.05","46,459.00"
"1877","174,368","4.93","47,400.00"
"1878","179,970","4.70","48,319.00"
"1879","200,947","4.70","49,264.00"
"1880","217,601","4.81","50,262.00"
"1881","244,810","4.80","51,466.00"
"1882","257,803","4.78","52,893.00"
"1883","264,932","4.69","54,435.00"
"1884","260,564","4.57","55,826.00"
"1885","261,466","4.48","57,128.00"
"1886","282,732","4.35","58,258.00"
"1887","303,271","4.38","59,357.00"
"1888","320,708","4.37","60,614.00"
"1889","329,923","4.24","61,893.00"
"1890","361,975","4.21","63,056.00"
"1891","366,254","4.25","64,432.00"
"1892","384,917","4.29","65,920.00"
"1893","362,574","4.29","67,470.00"
"1894","345,390","4.13","68,910.00"
"1895","384,856","4.09","70,076.00"
"1896","378,497","4.13","71,188.00"
"1897","394,811","4.13","72,441.00"
"1898","437,979","4.17","73,600.00"
"1899","467,929","4.21","74,793.00"
"1900","479,691","4.33","76,094.00"
"1901","505,153","4.45","77,584.00"
"1902","531,100","4.57","79,163.00"
"1903","546,598","4.79","80,632.00"
"1904","527,245","4.92","82,166.00"
"1905","586,735","4.95","83,822.00"
"1906","610,728","5.13","85,450.00"
"1907","626,420","5.46","87,008.00"
"1908","558,695","5.45","88,710.00"
"1909","599,077","5.43","90,490.00"
"1910","605,528","5.57","92,407.00"
"1911","625,147","5.55","93,863.00"
"1912","654,436","5.77","95,335.00"
"1913","680,269","5.81","97,225.00"
"1914","628,184","5.86","99,111.00"
"1915","645,310","6.05","100,546.00"
"1916","734,793","6.82","101,961.00"
